,beverage,trait,direct_correlation,indirect_correlation,same_correlation
0,water,destructive,-1.2437714624607754,-0.031531909728356185,True
1,water,ambitious,-1.9558760844678371,-0.1996862757882092,True
2,water,knowledge,0.2937629896736266,0.13239386834774144,True
3,water,neutral,-0.05436678086778074,-0.11105375994736078,True
4,water,possessive,-2.154314218236735,-0.06792971301355041,True
5,water,demanding,-1.4131043177774238,-0.0023840833890637785,True
6,water,tall,0.6437681395177204,0.023454417542153477,True
7,water,thorough,-1.0132465942065128,-0.1125681458256516,True
8,water,ripped,-1.6980580918630788,0.027703156155414327,False
9,water,flexible,0.9517846660167324,0.05518204978287878,True
10,water,emotional,-0.5177827791175358,-0.01945750022035167,True
11,water,slender,1.057797336589573,0.22971794390377406,True
12,water,blunt,-1.303986342423212,-0.052785750838844805,True
13,water,bizarre,-0.5547747337129184,-0.10443604958705094,True
14,water,frightening,-0.17359746285627953,-0.04385494474076285,True
15,water,petty,-1.2879259742724438,-0.075999435194905,True
16,water,miserable,-0.5338553849785379,-0.008872839696171482,True
17,water,honest,-0.22346791405293545,-0.13089971780490914,True
18,water,playful,0.7676157925864372,0.2415603569996614,True
19,water,scholarly,-0.3309503810755365,-0.15046404740662625,True
20,water,erratic,-1.7443409795571914,0.024581969762658112,False
21,water,mechanical,0.4520169616735398,-0.1490174390153756,False
22,water,brutal,-1.308462173216915,0.022382133571007826,False
23,water,caring,1.1620965223555575,0.1610785471675612,True
24,water,leader,0.4761948186029702,-0.14576867066168178,False
25,water,narrow,-0.7136905067821973,0.05243906537465939,False
26,water,obvious,-0.8459223851761978,0.12248253359772453,False
27,water,exciting,-0.8691935447953628,0.14736334045555016,False
28,water,delicate,1.151806674876738,0.20524223186944385,True
29,water,confident,0.1919684490865346,-0.09501902805962738,False
30,water,pure,0.32755267920866155,0.25488237597531765,True
31,water,colorful,-0.01924322825018429,0.09273338963276878,False
32,water,understanding,0.7228138277473539,-0.034111104704585435,False
33,water,impressive,-0.2848135380196481,-0.05014348602900846,True
34,water,solid,0.1872828454624154,0.10665924793182537,True
35,water,progressive,0.2913716169465677,-0.10121666719752907,False
36,water,fiery,-0.6803136742883522,0.2716726740785095,False
37,water,athletic,1.0483664919287583,-0.08332706401047275,False
38,water,unstable,-1.2572759210918416,-0.0407250286122437,True
39,water,ridiculous,-0.3271100283345121,0.13150361257046375,False
40,water,solitary,-0.1786610305017687,-0.17891409934788685,True
41,water,regimental,-0.4517083072995626,-0.23939992709962585,True
42,water,profound,-0.08535488832259862,-0.00957329698619311,True
43,water,fit,0.4017531715834399,-0.12087276811309727,False
44,water,reflective,0.5861742313855006,-0.2697870852052336,False
45,water,critical,-0.17997718373514954,-0.03497263540179762,True
46,water,efficient,-0.25898873361792224,-0.1832045205537387,True
47,water,impatient,-1.2957454766490104,-0.2677302660771629,True
48,water,invisible,-0.03658383222172629,-0.014409107740252287,True
49,water,complex,-0.8536695027480602,0.012868135108685544,False
50,water,attractive,-0.9401010723584928,-0.2017538330987595,True
51,water,friendly,1.0282195122819715,-0.13145582491772628,False
52,water,soft,0.21382966540578174,0.2287019295504735,True
53,water,modern,0.05973498409308268,0.024577940558295944,True
54,water,dull,-1.114610433278255,-0.006313299503223512,True
55,water,subjective,-0.9095509480466316,0.09236836471528337,False
56,water,towering,0.08632364189835721,0.045519074662789163,True
57,water,rigid,-0.8952602986653372,-0.14771728545744092,True
58,water,passionate,-0.7062675728007636,-0.007344244101037383,True
59,water,constant,0.056204995270892455,0.1229790414568253,True
60,water,weak,0.7721791993814054,0.13802143659647553,True
61,water,religious,0.3110772375629159,-0.051952422950570634,False
62,water,innovative,-0.4401127304308423,-0.16097094045922428,True
63,water,daring,-0.9224376769621954,0.2591072932080146,False
64,water,tiny,1.3676412767359407,0.2842504816504577,True
65,water,slow,0.4064511911350727,0.0182632988109806,True
66,water,proud,-0.3033894396133604,-0.18365984844770064,True
67,water,vague,-0.6923948852127209,0.10230717500546402,False
68,water,sage,0.4971518656931173,0.07103534595757884,True
69,water,fat,-0.1367423159759823,-0.11706038137452116,True
70,water,desperate,-0.9070514574279608,0.03060360585793996,False
71,water,skinny,0.503685205069804,0.08348395310234985,True
72,water,experimental,0.0003121928950984258,0.10101856125969157,True
73,water,protective,-0.3778358216232174,0.0168306456261163,False
74,water,casual,-0.5968493053786985,-0.0052895310137545575,True
75,water,physical,-0.4641809686660858,0.08067593276506063,False
76,water,educated,1.0735943687164753,-0.17194557292212698,False
77,water,warm,1.533875275492594,0.18139363004941508,True
78,water,patriotic,-0.07730588983071446,-0.11309811582273775,True
79,water,popular,-0.8551768276970335,-0.14317098046490798,True
80,water,open,-0.24984646944046066,0.0966686211199545,False
81,water,ordinary,0.009464917104346146,-0.09702506971040364,False
82,water,outspoken,-1.1597629976371608,-0.08200713197887473,True
83,water,hurried,-0.4310225568550497,0.029695266319311873,False
84,water,artificial,0.11895691595971974,0.0408754542599448,True
85,water,determined,-0.2899251482996918,0.18680787521964834,False
86,water,moderate,1.2984453324442855,-0.1051049912030578,False
87,water,intelligent,1.1343196535529103,-0.2054085063609255,False
88,water,driving,-1.3124691226490204,-0.216897233689018,True
89,water,generous,-0.8204567223117499,-0.19369184523975974,True
90,water,clever,-0.4053015842136237,-0.1621018527896336,True
91,water,intense,-0.5790578018302557,0.1828240336384301,False
92,water,messy,-1.1966769967849489,-0.035877410941571174,True
93,water,vulnerable,-0.2835412862973907,0.0280266540608638,False
94,water,difficult,-1.0051269261547051,-0.01258059872538948,True
95,water,fixed,-0.19458073688582814,-0.06080473872784878,True
