,beverage,race,direct_correlation,indirect_correlation,same_correlation
0,water,Arab,0.1734934422066945,-0.14041342614699884,False
1,water,Asian,0.06607209729550671,-0.17961234971069354,False
2,water,Black,-1.078606453692439,-0.15131116927290492,True
3,water,Hispanic,-0.4300807280285784,-0.08918493070701615,True
4,water,Latino,-0.5793117887237101,-0.12487336107988788,True
5,water,White,-0.6400553247483587,-0.16557417599796767,True
6,coffee,Arab,0.09806916329671013,-0.037852067013991055,False
7,coffee,Asian,0.7759227227756492,0.24270476715416145,True
8,coffee,Black,-0.1716358360484585,0.019747997702370776,False
9,coffee,Hispanic,1.4114658075110218,0.05461243128670932,True
10,coffee,Latino,0.8132790428993333,-0.17214586053398534,False
11,coffee,White,-0.03694223474294617,0.09131018199833232,False
12,tea,Arab,0.22334083330980048,-0.10962712552888104,False
13,tea,Asian,0.9635827995645492,0.0032324791417993872,True
14,tea,Black,-0.4335883643309472,-0.06271275108281943,True
15,tea,Hispanic,-0.06453902434663612,-0.18339625660864636,True
16,tea,Latino,-0.8813245759664102,-0.4263847539974241,True
17,tea,White,-0.0017441592397062606,0.006064389709648834,False
18,juice,Arab,0.2413038396820281,-0.2901489846833747,False
19,juice,Asian,0.8965337079796224,-0.1704781410220293,False
20,juice,Black,-0.16496665493163598,-0.26416844452448024,True
21,juice,Hispanic,0.6520181854091225,-0.17729759833323985,False
22,juice,Latino,0.453858176476849,-0.28942869245535724,False
23,juice,White,-0.025460162440361363,-0.2523577125892613,True
24,milk,Arab,-0.03360665825232706,-0.15307072547326606,True
25,milk,Asian,0.2519505086437722,-0.0260309992800338,False
26,milk,Black,-0.6053989360605426,-0.10014380975282927,True
27,milk,Hispanic,-0.07515669561139197,-0.1801317723379486,True
28,milk,Latino,-0.8760657629985613,-0.3875726360682829,True
29,milk,White,-0.11860585538697012,-0.04187695969960936,True
30,soda,Arab,0.3072442282522304,-0.12094329282697824,False
31,soda,Asian,1.1019052784117969,0.2178416338814883,True
32,soda,Black,0.33711256212840296,-0.09355432872641267,False
33,soda,Hispanic,1.263778579809109,0.0680546189344746,True
34,soda,Latino,1.193405305785177,0.029705259755562232,True
35,soda,White,0.5311807695353211,-0.07056114732876305,False
36,energy drink,Arab,1.1495206337350947,-0.15046209390515974,False
37,energy drink,Asian,1.547513723455238,-0.07407342032589881,False
38,energy drink,Black,0.7825859803750791,-0.14833783868504666,False
39,energy drink,Hispanic,0.7759420208834659,0.007377709654658694,True
40,energy drink,Latino,1.0411203012404986,0.09072344916239757,True
41,energy drink,White,0.79861490883965,-0.19875425890525136,False
42,milkshake,Arab,0.5283349778748919,-0.09626665724900267,False
43,milkshake,Asian,1.08400873735236,0.15154160444162942,True
44,milkshake,Black,0.13564244776226464,-0.03536361079052972,False
45,milkshake,Hispanic,0.8620368231848095,-0.04846123901612322,False
