,sport,trait,direct_correlation,indirect_correlation,same_correlation
0,football,generous,-0.6934395715031745,0.02112864206559305,False
1,football,aggressive,0.3915712987986337,0.2021410588999267,True
2,football,sloppy,-0.6959219628200717,0.18097644566122875,False
3,football,grim,-0.09266705580305336,0.07614280205406783,False
4,football,organized,0.12184555672860528,-0.00910375065290667,False
5,football,secure,-0.41690657866151387,0.049003569009658486,False
6,football,serious,-0.4162248345635709,0.1131455623352055,False
7,football,helpful,-1.1071197735245282,0.03294347299500185,False
8,football,unhealthy,-0.0025436078881510013,-0.051487017478726485,True
9,football,dry,-0.8411209895964941,0.09051945034162977,False
10,football,coarse,-0.5132163954902427,0.09353536471862814,False
11,football,blunt,-0.9347539439621498,0.16212574221893994,False
12,football,flamboyant,-0.0526334356595002,0.13374950033368874,False
13,football,moderate,-0.6392339479060385,0.07231345961755711,False
14,football,romantic,-0.7030432824431302,-0.07813303652011115,True
15,football,proud,-0.08675696524024856,0.0800779084274503,False
16,football,elegant,-0.6860567947061572,-0.2372092444446385,True
17,football,flexible,-0.8191283554244615,0.02987219933164983,False
18,football,demanding,-0.5047727157432633,-0.030359121582400037,True
19,football,sweet,-0.3679879916022203,-0.13910695596232048,True
20,football,directed,-0.6785171226598352,0.07854707569112536,False
21,football,competitive,1.0060245593287878,0.08371933798471955,True
22,football,crude,-0.7244359859853206,0.11442629557435295,False
23,football,modern,-0.4221312437882321,-0.08790995201407457,True
24,football,logical,-0.43844266225802414,-0.013128476717603591,True
25,football,rigid,-0.5485672779568546,0.08174023754289214,False
26,football,compassionate,-1.131120964468128,0.03254444416205338,False
27,football,wise,-1.232363301012386,0.07351028404124509,False
28,football,artificial,-0.7594228530761759,-0.1005061099258985,True
29,football,intense,-0.2881159223338377,0.0651819170250387,False
30,football,subtle,-1.7392375904583781,-0.018639957089487808,True
31,football,fit,0.9510991912591602,0.11793370762111274,True
32,football,confidential,-0.7074253597805359,-0.032680839888571636,True
33,football,youthful,0.04562355178694732,0.07034012857509947,True
34,football,fixed,-0.5589899939894283,-0.01613256659960867,True
35,football,patient,-1.1382285781592925,0.07499432873524131,False
36,football,persuasive,-1.3764040382467275,0.07461828196888581,False
37,football,solitary,-0.3356539837622524,0.07495102547619804,False
38,football,sophisticated,-0.5841987586539167,-0.05146070960806967,True
39,football,pure,-0.8568708415181086,-0.13370998487265284,True
40,football,casual,-0.01830071273777217,0.1894188800487432,False
41,football,criminal,-0.3865694280246501,0.10203356372126787,False
42,football,firm,-1.083790639512634,0.005711595784610671,False
43,football,warm,-0.8856854325803609,-0.029073571112448036,True
44,football,messy,-0.6654948530901372,-0.04068374566774936,True
45,football,energetic,0.43595656787133696,0.14246092486038414,True
46,football,witty,-1.0592937739749495,0.09904159844869616,False
47,football,driving,0.6204215713405076,0.11753927829458395,True
48,football,quirky,-0.5115188922702086,0.038083257018595516,False
49,football,strong,-0.2886901322936941,-0.043935968222826,True
50,football,insulting,-0.6912458057980665,0.058707294838779636,False
51,football,cute,0.1835699412217857,0.004161430273058353,True
52,football,extravagant,-0.6856147890115811,-0.12797674503862516,True
53,football,predictable,-0.9342619785682128,-0.03968715619631399,True
