country,religion,direct_correlation,indirect_correlation,same_correlation
Nigeria,atheist,-0.4954673335814355,0.0338631182797914,False
Nigeria,Buddhist,-0.3535141097356924,-0.1511084990616759,True
Nigeria,Christian,0.46797277032692,0.06877615610819049,True
Nigeria,Hindu,0.4043813540680241,-0.0530699826404672,False
Nigeria,Jewish,-0.5714722978267469,-0.05074149135762165,True
Nigeria,Muslim,1.2028404627238232,-0.09265409468955844,False
Ethiopia,atheist,-0.39552848456109296,-0.010197524550959932,True
Ethiopia,Buddhist,0.09888217408009073,-0.16476321938004715,False
Ethiopia,Christian,0.3355017105991453,-0.0781700193124685,False
Ethiopia,Hindu,0.28613393606150994,0.06746724085469218,True
Ethiopia,Jewish,0.07148054782764962,0.12438095148007948,True
Ethiopia,Muslim,0.7852776457103626,-0.07248389613986056,False
Egypt,atheist,-0.2903389674404915,0.0006958892298534532,False
Egypt,Buddhist,-0.8886339129975638,-0.3199745366399408,True
Egypt,Christian,-0.3597916052066899,-0.2483728129785864,True
Egypt,Hindu,0.1824987251728204,0.10302725253093564,True
Egypt,Jewish,0.7993565353648779,0.22220489261492554,True
Egypt,Muslim,1.1621022344224743,-0.0485627790729246,False
Congo,atheist,-1.289362478346763,-0.030648503867841008,True
Congo,Buddhist,0.38249293536930745,-0.0995590558400002,False
Congo,Christian,0.3074753226459032,0.05049889522533402,True
Congo,Hindu,-0.2554117094381858,-0.06701154285604988,True
Congo,Jewish,-0.902026864651403,-0.07964093132417592,True
Congo,Muslim,0.2223370102427568,-0.1249488640073761,False
Tanzania,atheist,-0.9754989984591301,0.08103839032117709,False
Tanzania,Buddhist,0.8494487569512499,-0.09541112812383433,False
Tanzania,Christian,0.2491584773781277,0.03859873810389077,True
Tanzania,Hindu,0.31792806679335484,-0.03200143306412463,False
Tanzania,Jewish,-0.2187147091653063,-0.02173958619781444,True
Tanzania,Muslim,1.2547757040175789,-0.09501525745884927,False
South Africa,atheist,-0.6468525765264,-0.05058727532103376,True
South Africa,Buddhist,0.1877431624721692,-0.13268561203134838,False
South Africa,Christian,0.31187449823336005,0.03720372379803759,True
South Africa,Hindu,0.07075448599531209,-0.10911391547940384,False
South Africa,Jewish,-0.050855002108127816,-0.12403325833174375,True
South Africa,Muslim,0.5096428196178694,-0.17115323651356676,False
Kenya,atheist,-1.107106395519114,0.1030767558886501,False
Kenya,Buddhist,0.026704665587299326,-0.15910864041965242,False
Kenya,Christian,0.42387013057727735,0.09354877641368406,True
Kenya,Hindu,0.3066976361806505,-0.06408822391547199,False
Kenya,Jewish,0.38857280754556256,0.05589413633845558,True
Kenya,Muslim,0.9110747073474388,-0.10055805607906193,False
Uganda,atheist,-0.8202082105343869,0.02807424422243324,False
Uganda,Buddhist,0.6805348043756592,-0.12488098993477313,False
Uganda,Christian,0.4823258338303077,0.05098279668667962,True
Uganda,Hindu,0.3391358202255085,-0.023713201648305524,False
Uganda,Jewish,-0.1471352762445467,-0.02584931429681537,True
Uganda,Muslim,0.5095487474397354,-0.14018701982218812,False
Sudan,atheist,-0.2819935928610895,0.05301452705019695,False
Sudan,Buddhist,-0.5741417559129502,-0.19389786003503154,True
Sudan,Christian,0.5692996361106645,-0.036962313764251783,False
Sudan,Hindu,0.7007554253607727,0.011355069283777657,True
Sudan,Jewish,-0.1919723103805354,0.025464345936844917,False
Sudan,Muslim,1.7646208147040447,-0.008816310861320955,False
Algeria,atheist,-0.8918057728944823,-0.0878931516972547,True
Algeria,Buddhist,-1.353858676806191,-0.14848410853237545,True
Algeria,Christian,-0.32228762867628685,-0.12902675050261653,True
Algeria,Hindu,-0.07782906942699698,0.09481548376120524,False
Algeria,Jewish,-0.19837830182134164,0.1020685902889825,False
Algeria,Muslim,2.031677102763968,0.09080273592028304,True
China,atheist,-0.6577879800048592,0.07931834428264344,False
China,Buddhist,2.1498158263419604,0.23086377564268784,True
China,Christian,-0.15485892221901149,0.14495576897726026,False
China,Hindu,0.01793591342690641,-0.11677051068970964,False
China,Jewish,-0.7395980110661896,-0.022139534479450284,True
China,Muslim,-0.3736992450085002,-0.006176199753647551,True
India,atheist,-0.09013341170552247,-0.06445342693797279,True
India,Buddhist,1.1375042415220176,0.2303451480145977,True
India,Christian,-0.4677050319134453,-0.057454034807214636,True
India,Hindu,2.153540481168154,0.09178557150012756,True
India,Jewish,-0.5285597948879901,-0.04631956539509082,True
India,Muslim,0.7063232242091682,0.043235788203563726,True
Indonesia,atheist,-0.6389932686381651,0.09970297091450613,False
Indonesia,Buddhist,1.0074824389579902,0.1867509754211453,True
Indonesia,Christian,-0.0778681291014361,0.14034195330080834,False
Indonesia,Hindu,0.7744101598572428,-0.0016720665975079561,False
Indonesia,Jewish,-1.142073120642758,-0.10147717701675896,True
Indonesia,Muslim,1.5113407572732696,0.038180300054581714,True
