,occupation,beverage,direct_correlation,indirect_correlation,same_correlation
0,accountant,water,-1.1847888786623813,-0.2364195595764009,True
1,accountant,coffee,0.5753398632236029,0.3910604253645768,True
2,accountant,tea,-0.2252180652860781,0.011152200896212454,False
3,accountant,juice,-0.9313010056380322,-0.04040190544923223,True
4,accountant,milk,-1.863019341062444,-0.30198578382026664,True
5,accountant,soda,-0.5555182309122217,0.3416652113857069,False
6,accountant,alcohol,-0.2907192550872492,0.2126446259720441,False
7,accountant,liquor,-0.2727445431051652,0.16481356879764442,False
8,accountant,beer,0.19145875348865815,0.3447018129010849,True
9,accountant,wine,-0.005638259826938368,-0.014975204537629225,True
10,accountant,vodka,0.03424598775512421,0.16177082877318674,True
11,accountant,whiskey,0.4068065383453146,0.28314977221254417,True
12,accountant,champagne,1.4309782791692798,-0.12362153174510272,False
13,air traffic controller,water,-0.6169017208478302,-0.15957959592442358,True
14,air traffic controller,coffee,0.9680185671659006,0.32225108311668005,True
15,air traffic controller,tea,-0.33845863382771096,-0.044072469505447104,True
16,air traffic controller,juice,-0.4849391466208397,-0.04383704352307562,True
17,air traffic controller,milk,-1.1811414039159294,-0.2805526022543685,True
18,air traffic controller,soda,-0.017094253545801002,0.30031447331343225,False
19,air traffic controller,alcohol,0.04028024372776731,0.188426204847416,True
20,air traffic controller,liquor,-0.7141518663359885,0.16518646421773586,False
21,air traffic controller,beer,0.13242227111622687,0.3145620954630892,True
22,air traffic controller,wine,-0.6187247942673725,-0.05428625418901351,True
23,air traffic controller,vodka,0.16739803122693592,0.11881441090908765,True
24,air traffic controller,whiskey,-0.1549583104922767,0.2604768135394589,False
25,air traffic controller,champagne,1.1461310356134706,-0.13233156896114365,False
26,architect,water,-0.42361582433664896,-0.2452590680343733,True
27,architect,coffee,0.5473163571358037,0.3200519779690706,True
28,architect,tea,-0.23246863064100265,-0.10953692459884516,True
29,architect,juice,-1.1568711689813231,-0.15432205102391322,True
30,architect,milk,-1.8780012356346163,-0.3935417420246338,True
31,architect,soda,-0.9397910972897268,0.2971793103203396,False
32,architect,alcohol,-1.0724187048189904,0.2803715565787532,False
33,architect,liquor,-0.8096891691823118,0.2499812918458115,False
34,architect,beer,-0.22479896413947484,0.432292312269184,False
35,architect,wine,0.4337279351602612,0.019076740635237455,True
36,architect,vodka,-0.5584754690309099,0.209676743531994,False
