beverage,sport,direct_correlation,indirect_correlation,same_correlation
water,football,-0.9302878865418526,0.07027657187524612,False
water,basketball,0.5409429945610871,0.042989502126965486,True
water,cricket,0.6642932512341728,0.10221138736027684,True
water,hockey,-0.6697079690738196,-0.020064073008914704,True
water,tennis,0.3249991827219973,-0.05885887602601977,False
water,volleyball,0.5945807735888097,-0.19178604963552795,False
water,baseball,-0.12465505878264961,0.0987302488035363,False
water,rugby,-1.0508818593853295,0.04106761029851615,False
water,golf,-0.40006359709563655,0.07639200133993516,False
water,athletics,-0.2784193087440642,-0.05491077235753794,True
water,badminton,1.2985340304721638,-0.07814291622939076,False
water,boxing,-1.9122113045338829,-0.051840311350214344,True
water,cycling,0.7691437020152023,-0.06884874681850138,False
water,swimming,1.6729632363741351,-0.004486775124934034,False
water,shooting,-1.7789262479793162,-0.009487511753700868,True
water,gymnastics,0.337605076534052,-0.09507691818406425,False
water,wrestling,-2.0472497057253056,-0.07689807193551196,True
water,skiing,-1.292036463021927,-0.10891880446605236,True
water,bowling,-1.0833984609820062,-0.0775223805640428,True
coffee,football,-0.47390597385113115,0.2797902574462523,False
coffee,basketball,0.3099916116435423,0.15644567364204118,True
coffee,cricket,0.2961439273106624,0.279944598204561,True
coffee,hockey,-0.7175770706881409,0.22709662061262004,False
coffee,tennis,0.37789455919652626,0.14548484526233524,True
coffee,volleyball,-0.2659719993722446,-0.07709533187015899,True
coffee,baseball,-0.16461714838140482,0.3303241040185439,False
coffee,rugby,-0.7095185235515086,0.2459623662444825,False
coffee,golf,0.32159355610104723,0.33912231309564933,True
coffee,athletics,-0.8667840613945573,0.16174459594358834,False
coffee,badminton,0.655332289154907,0.12761932698380013,True
coffee,boxing,-0.754599432400651,0.3211492264213754,False
coffee,cycling,0.09699091420712655,0.2203372421277682,True
coffee,swimming,-0.582018963286716,0.02083531616934011,False
coffee,shooting,-1.437528033223112,0.11825598569521104,False
coffee,gymnastics,-0.8656912005744929,-0.05276492323053314,True
coffee,wrestling,-1.6585572845728436,0.21097481528601345,False
coffee,skiing,-0.661659940494021,0.18031933947018652,False
coffee,bowling,-0.15487320676534086,0.17136446309304162,False
tea,football,-1.4072070145811328,0.05718839152475872,False
tea,basketball,-1.0090672499571447,0.027750321301689054,False
tea,cricket,1.4750663086119633,0.15889656252845974,True
tea,hockey,-1.0109764378482742,0.042166817587782436,False
tea,tennis,-0.1308758854338931,0.042363628034498634,False
tea,volleyball,-1.280453669643479,-0.15138172798730237,True
tea,baseball,-1.034551487748591,0.09182393288613208,False
tea,rugby,-1.386951280308023,0.08145259404211097,False
tea,golf,-0.46178199223746436,0.13971776456512533,False
tea,athletics,-1.4855223094401242,-0.03109167434139673,True
tea,badminton,1.7743816989717207,0.05647961760448262,True
tea,boxing,-1.5628270597788114,0.08044768563091208,False
tea,cycling,-0.4375934347295179,0.04497641814461392,False
tea,swimming,-0.34017366763117374,0.02828050081543107,False
tea,shooting,-1.5318487247189019,0.04961088328506469,False
tea,gymnastics,-1.136270063671283,-0.03623508032494495,True
tea,wrestling,-2.225094281351466,-0.03208497250840325,True
tea,skiing,-1.0465821644301403,0.01362504123776915,False
tea,bowling,-0.007288362060578426,0.03751977373509646,False
juice,football,-0.6205950790603463,0.254650936017018,False
juice,basketball,1.1795606303974426,0.1997127121331015,True
juice,cricket,0.2346390410610692,0.18978097157727267,True
juice,hockey,-0.5263271549976217,0.11492006142906724,False
juice,tennis,0.5573259099196645,0.04399849148847306,True
juice,volleyball,0.7959264586846415,-0.12403627897981657,False
juice,baseball,-0.002544834992705011,0.30242443572713756,False
juice,rugby,-0.35335022432845115,0.22651582370138795,False
juice,golf,0.06537537563415519,0.2435073237768188,True
juice,athletics,-0.39507882364282587,0.1416980573167872,False
juice,badminton,1.2888629427016731,0.008773250991756893,True
juice,boxing,-0.9266054244212627,0.3030690916314994,False
juice,cycling,0.8628600473703115,0.18169675861954504,True
juice,swimming,1.2780275424126166,-0.06385623539544175,False
juice,shooting,-1.6299055906473028,0.10647834539979173,False
juice,gymnastics,0.4773590404095081,-0.013751071799788314,False
juice,wrestling,-2.1084746224461366,0.24201241355026323,False
