,occupation,trait,direct_correlation,indirect_correlation,same_correlation
0,accountant,short,0.1969381261382068,-0.08658827287257018,False
1,accountant,obvious,-0.1247594752274564,-0.15849379329137242,True
2,accountant,impatient,0.33475569455813625,0.2737121608159807,True
3,accountant,generous,0.7301528364186244,0.4553406144573532,True
4,accountant,coarse,-0.4553748673099152,0.02736736345496409,False
5,accountant,miserable,-0.5286727282801114,-0.02466209461975603,True
6,accountant,dependent,-0.08442898138336907,0.1727796913569889,False
7,accountant,active,0.13225566634611746,0.21178483841412613,True
8,accountant,flexible,0.1241280537448638,0.0022428971687714822,True
9,accountant,elegant,0.24574395932708065,-0.2050383819994487,False
10,accountant,subtle,-0.2761641417148704,-0.2175072866463933,True
11,accountant,slow,0.2955797591701966,-0.10459099622455666,False
12,accountant,private,-0.017322371333672967,0.27263975699707604,False
13,accountant,aspiring,0.8959410158928277,0.10685501680725827,True
14,accountant,trim,0.4172628761364868,-0.10935723310627826,False
15,accountant,irrational,-0.34242898510406883,-0.08072911944440503,True
16,accountant,weak,-0.7993134067442059,-0.31785672869697024,True
17,accountant,tense,-0.5138484149424688,-0.44993082859027855,True
18,accountant,confident,0.3601834643411064,-0.07853610406917788,False
19,accountant,skeletal,-0.4636131640006474,0.22803043149402344,False
20,accountant,crisp,0.010615803682292351,-0.10362758031475028,False
21,accountant,complaining,-0.003823896772134481,-0.04576559050510223,True
22,accountant,dramatic,0.10308907029374524,-0.21094301512892347,False
23,accountant,competitive,0.8303313794980004,0.23217009673769134,True
24,accountant,modern,0.6864766516683415,0.03157397088060653,True
25,accountant,negative,-0.3192956557827585,0.2732533346622373,False
26,accountant,shallow,0.2692927233422096,-0.11090407130580393,False
27,accountant,vulnerable,-1.163894794512441,-0.4823038064236565,True
28,accountant,formal,0.8050475328253872,-0.1374932116010817,False
29,accountant,smooth,-0.0901077641150781,-0.2126156102180653,True
30,accountant,athletic,0.7377794893716337,0.11973578426752897,True
31,accountant,artificial,-0.4489198389336851,-0.09612669428176096,True
32,accountant,regimental,-0.44955674128450457,0.3626056419434234,False
33,accountant,stable,0.19817212222066816,0.2761449898057905,True
34,accountant,confused,0.13838097450937473,-0.18820036277974286,False
35,accountant,pure,-1.5156040719937969,-0.2910456349370121,True
36,accountant,stern,-0.06102820009632352,0.20588398955914253,False
37,accountant,dull,0.4487403895509355,0.06965191110155892,True
38,accountant,decisive,0.12031374111491737,0.23262379572639155,True
39,accountant,destructive,-0.867697559395226,-0.1638783238238464,True
40,accountant,sexy,-0.5860687597990842,-0.33741034178703494,True
41,accountant,rational,-0.052538953429423385,-0.1031107075399436,True
42,accountant,extreme,0.4279000015483838,-0.03309414409618042,False
43,accountant,reliable,1.1826330436943615,0.34190258074658464,True
44,accountant,patient,-0.25547330169420857,0.07234677431450694,False
45,accountant,balanced,-0.8222833575818165,-0.2605741083588012,True
46,accountant,colorful,-0.045603481094909866,-0.06363995492002159,True
47,accountant,efficient,1.5226835427634695,0.3689614652342658,True
48,accountant,bizarre,0.19076446043705106,0.04152973126021532,True
49,accountant,constant,-1.3839834368903772,-0.18200432841698594,True
50,accountant,secure,-0.4453790367595896,-0.07035814794281264,True
51,accountant,greedy,0.8335528616966537,0.15511728413603734,True
52,accountant,sensitive,0.4257288880171993,0.014044738265062643,True
53,accountant,faithful,-0.6199939690298286,0.0527482287044712,False
54,accountant,skeptical,1.1884171533334138,0.2270579992166865,True
55,accountant,sarcastic,-0.09120058459219137,0.0321432375801575,False
56,accountant,serious,0.5302783872051029,-0.07649611588292951,False
57,accountant,cute,-0.4435000875366408,-0.2959654056992685,True
58,accountant,ridiculous,0.057996514270317275,-0.2007850051317528,False
59,accountant,fat,0.12798374325931272,-0.01726937485106605,False
60,accountant,ambitious,1.5651802338259768,0.3531100482948017,True
61,accountant,unreliable,0.4248110626902667,0.37047631385148333,True
62,accountant,crazy,-0.3632276212656315,-0.1917338033284172,True
63,accountant,driving,0.11191270290529301,0.05842390010971045,True
64,accountant,organized,0.5026745726645376,-0.10045633546840914,False
65,accountant,clean,-0.020337000099725343,-0.0983846978921688,True
66,accountant,deep,-0.6599721853440417,-0.11275074600192203,True
67,accountant,amusing,-0.8401222881829922,-0.004352518193249277,True
68,accountant,humorous,-0.18803281430169205,0.3395603377710182,False
69,accountant,relaxed,-0.08228278909548256,-0.2703401453058045,True
70,accountant,arrogant,0.5663621737127523,0.2896659517852533,True
71,accountant,knowledge,0.5951348169319397,-0.2822019595396598,False
72,accountant,spontaneous,-0.478110903497921,-0.14429724921108994,True
73,accountant,lazy,1.2429815118361291,0.27791083812806755,True
74,accountant,suspicious,0.24118524114729786,0.459126146468601,True
75,accountant,gentle,-0.8925959035904352,-0.20264326415930686,True
76,accountant,outspoken,0.2432878882591503,0.2394828975653113,True
77,accountant,accessible,-0.2717475087055427,-0.025853487173167246,True
78,accountant,maternal,-0.5075663658139118,-0.1402407657887649,True
79,accountant,questioning,-0.0909414165872246,-0.19441568485663052,True
80,accountant,angry,-1.2276412493224331,0.06146692059905515,False
81,accountant,fair,-0.490160884957469,-0.06927565632325675,True
82,accountant,alert,-0.10353328109274536,-0.17089350301804113,True
83,accountant,hurried,0.3158270434625033,-0.3174319272296567,False
84,accountant,warm,-1.93941270621016,-0.2863688727667724,True
85,accountant,attractive,0.2705512827469181,-0.04391891022639802,False
86,accountant,logical,0.1884401812754411,-0.13582443077051,False
87,accountant,realistic,0.0009846210063823094,0.047801031766842535,True
88,accountant,unstable,0.029136369709695888,0.08219007648968966,True
89,accountant,reactive,-0.8790255478409232,0.038288722692004167,False
90,accountant,casual,0.6045004362897933,-0.2449207336186488,False
91,accountant,brutal,-0.2585634506577593,-0.10192645793979173,True
92,accountant,messy,0.13486290171173976,-0.18251385773624693,False
93,accountant,ruined,-0.7079763215039319,-0.1074517524544261,True
94,accountant,transparent,0.06561927538413412,-0.19980588100563204,False
95,accountant,unpredictable,-0.69503562408677,-0.11622794347740803,True
96,accountant,anxious,-0.3820422571214149,-0.20126282231560205,True
97,accountant,critical,0.03226649338341071,0.3070802415272125,True
98,accountant,neat,0.5056478150578455,-0.025967407091548742,False
99,accountant,focused,-0.041865052620443294,-0.4670049355627061,True
100,accountant,tiny,-1.013835462843934,-0.4159032703027121,True
101,accountant,crude,-0.04687717993709603,-0.07959712405726849,True
102,accountant,hostile,-0.6626126670936401,0.4501367762316107,False
103,accountant,systematic,0.8565999480043092,0.031229367958302005,True
104,accountant,caring,-0.8436387265791947,-0.15925782633151267,True
105,accountant,stupid,-0.12120489543016065,-0.09902100838448698,True
106,accountant,naive,0.2727195282923983,-0.052218869674244016,False
107,accountant,ordinary,0.3633174403466137,-0.034142327940836124,False
108,accountant,liberal,0.8797774191722022,0.3324581818395565,True
109,accountant,disturbing,-0.7325470537628804,-0.05643925734496068,True
110,accountant,intelligent,0.5919015569213631,0.24921346761066235,True
111,accountant,healthy,-0.3549130534330991,0.03994866717420162,False
112,accountant,surprising,0.055705515811641515,-0.1583786678752272,False
113,accountant,aggressive,-0.16237227410955798,0.18396921592568735,False
114,accountant,vague,0.5752545656135619,0.08510246618138682,True
115,accountant,sharing,-1.989863354563915,-0.3450520086264529,True
116,accountant,difficult,0.2777843664489191,-0.03127338414726338,False
117,accountant,capable,0.5055895709770313,0.3513423143737372,True
118,accountant,cold,-1.300164139102668,-0.2236689921624886,True
119,accountant,frightening,-1.0696111391502734,-0.06283191206769037,True
120,accountant,abrupt,0.16658485192693026,-0.16350382602177016,False
121,accountant,soft,-0.8885212497018317,-0.4990254163904598,True
122,accountant,tolerant,-0.6033679035975369,0.306851385580505,False
123,accountant,dynamic,-0.285511184041107,-0.17465185949898865,True
124,accountant,patriotic,0.4694010239203503,0.4045283331451472,True
125,accountant,lyrical,-0.3626191258570624,-0.1865986564265309,True
126,accountant,upright,-0.3451087014807905,-0.012963411082078572,True
127,accountant,retiring,0.6963475362602056,0.4410067088646403,True
128,accountant,restrained,-1.0318445223476729,0.054938724069089236,False
129,accountant,profound,0.07788147380664116,0.006030122330749208,True
130,accountant,curious,0.4999336258679088,-0.1995901902710248,False
131,accountant,progressive,0.8294386110244203,0.2234375912562802,True
132,accountant,leader,-0.4381372727216685,-0.03461435749432782,True
133,accountant,odd,0.5134404207889551,-0.17829393908430946,False
134,accountant,strict,0.8214240618554999,0.12201136597136115,True
135,accountant,simple,0.15681061086361353,-0.18316835076718133,False
